ID,Id wymagania,Tytuł,Warunki wstępne,Opis kroków,Oczekiwany rezultat
1,R1,Możliwość zamówienia produktu bez konieczności rejestracji,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku produkt,"1. Kliknij przycisk ""Przejdź do kasy""
 2. Wybierz sposób dostawy i kliknij przycisk ""Kontynuuj"" 
 3. Wypełnij wszystkie wymagane pola oraz checkbox zaznaczone * i kliknij przycisk ""Kontynuuj""
 4. Wybierz sposób płatności i kliknij przycisk ""Zamawiam i płacę""","Wyświetla się komunikat ""Dziękujęmy za zakuy, potwierdzenie zostanie wysłane na maila"""
2,R2,Rejestracja użytkownika Happy Path,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Najedź kursorem na przynisk ""Logowanie""
 2. Z rozwiniętej listy kliknij ""Zaloguj się"" 
 3. Kliknij w wytłuszczony napis ""Zarejestruj się""
 4. Wypełnij prawidłowo wszystkie pola i zaznacz checkbixy oznaczone gwiazdką
 5. Kliknij przycisk ""Zarejestruj się"" 
 6. W polu ""Wprowadź kod z SMS"" wpisz otrzymany kod 
 7. Kliknij przycisk ""Zatwierdź""","Wyświetli się stronę główna na której będzie widoczny tekst ""Witaj Twoje imię"" w miejscu gdzie wcześniej był przycisk ""Logowanie"" po prawej stronie pola ""szukaj w Biedronce"""
3,R2,Rejestracja użytkownika - pozostawiając puste pola,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pozostaw wszystkie pola puste
 2. Nie zaznaczaj żadnego chceckboxa
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki wszystkich pól zmieniają kolor z szarego na czerwony, pod polami pojawia się tekst na czerwono o obowiązku uzupełnienia pola, przy checkboxach pojawi się komunikat na czerwono ""Wprowadź dane w tym polu."""
4,R2,Rejestracja użytkownika - bez podawania e-mail,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole e-mail pozostaw puste
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola e-mail zmienia kolor z szarego na czerwony, pod polem e-mail pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Proszę podać e-mail"""
5,R2,Rejestracja użytkownika - bez podawania podawania hasła,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole hasło pozostaw puste
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Proszę podać hasło"""
6,R2,Rejestracja użytkownika - stosując ciąg pustych znaków w polu Imię,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Imię uzupełnij dowolną ilością pustych znaków ""spacji""
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola imię zmienia kolor z szarego na czerwony, pod polem imię pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Wprowadź dane w tym polu."""
7,R2,Rejestracja użytkownika - stosując ciąg liczb w polu Imię,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Imię uzupełnij dowolną ilością liczb 
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola imię zmienia kolor z szarego na czerwony, pod polem imię pojawia się tekst na czerwono ""Nieprawidłowa wartość."""
8,R2,Rejestracja użytkownika - stosując ciąg znaków specjalnych w polu Imię,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Imię uzupełnij dowolnym ciągiem znaków specjalnych
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola imię zmienia kolor z szarego na czerwony, pod polem imię pojawia się tekst na czerwono ""Wartość zawiera nieprawidłowy znak."""
9,R2,Rejestracja użytkownika - wpisując ponad 20 liter w polu Imię,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Imię uzupełnij ponad 20 literami
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola imię zmienia kolor z szarego na czerwony, pod polem imię pojawia się tekst na czerwono ""Maksymalna długość to 20."""
10,R2,Rejestracja użytkownika - stosując ciąg pustych znaków w polu Nazwisko,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Nazwisko uzupełnij dowolną ilością pustych znaków ""spacji""
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki nazwisko zmienia kolor z szarego na czerwony, pod polem nazwisko pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Wprowadź dane w tym polu."""
